date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:34	1262/1262	---M-Z	200	added ('OK')	text/css	etag:%224ee-596200513978d-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/faqs//assets/css/main.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/faqs/assets/css/main4d2c.css	(from https://directorist.com/theme/demo/direo/)
18:24:35	1446/1446	---M-Z	200	added ('OK')	text/css	etag:%225a6-59620051462ad-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/social-login/assets/public/css/main.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/social-login/assets/public/css/main4d2c.css	(from https://directorist.com/theme/demo/direo/)
18:24:35	9163/9163	---M-Z	200	added ('OK')	text/css	etag:%2223cb-596200514242d-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/directorist-listings-map//public/assets/css/style.css?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/directorist-listings-map/public/assets/css/style4d2c.css	(from https://directorist.com/theme/demo/direo/)
18:24:35	16542/16542	---M-Z	200	added ('OK')	text/css	etag:%22409e-59565b2ba061c-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.7.1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutf43b.css	(from https://directorist.com/theme/demo/direo/)
18:24:35	6758/6758	---M-Z	200	added ('OK')	text/css	etag:%221a66-59565b2ba061c-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.7.1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenf43b.css	(from https://directorist.com/theme/demo/direo/)
18:24:35	62639/62639	---M-Z	200	added ('OK')	text/css	etag:%22f4af-59565b2ba061c-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.7.1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/woocommerce/assets/css/woocommercef43b.css	(from https://directorist.com/theme/demo/direo/)
18:24:36	261551/261551	---MCZ	200	added ('OK')	text/css	etag:%223fdaf-59620042445d9-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/bootstrap/bootstrap.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/bootstrap/bootstrap.css	(from https://directorist.com/theme/demo/direo/)
18:24:36	53688/53688	---M-Z	200	added ('OK')	text/css	etag:%22d1b8-5962004243e09-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/fontawesome.min.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/fontawesome.min.css	(from https://directorist.com/theme/demo/direo/)
18:24:36	54864/54864	---MCZ	200	added ('OK')	text/css	etag:%22d650-59620042441f1-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/jquery.mCustomScrollbar.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/jquery.mCustomScrollbar.css	(from https://directorist.com/theme/demo/direo/)
18:24:36	28115/28115	---M-Z	200	added ('OK')	text/css	etag:%226dd3-5962004243e09-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/line-awesome.min.css	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/css/line-awesome.min.css	(from https://directorist.com/theme/demo/direo/)
